Date,Ganre,Preference
201108,Ballade,"	0.39"
201108,R&B/Soul,"	0.02"
201108,Rap/Hiphop,"	0.07"
201108,Folk/Blues,"	0.00"
201108,Rock/Metal,"	0.04"
201108,Indie,"	0.01"
201108,Dance,"	0.46"
201108,Trot,"	0.00"
201109,Rock/Metal,"	0.01"
201109,Ballade,"	0.34"
201109,Dance,"	0.48"
201109,Indie,"	0.03"
201109,R&B/Soul,"	0.03"
201109,Rap/Hiphop,"	0.13"
201110,Ballade,"	0.43"
201110,Dance,"	0.37"
201110,Folk/Blues,"	0.00"
201110,Indie,"	0.00"
201110,R&B/Soul,"	0.04"
201110,Rap/Hiphop,"	0.11"
201110,Rock/Metal,"	0.04"
201111,Ballade,"	0.55"
201111,Dance,"	0.21"
201111,R&B/Soul,"	0.04"
201111,Rap/Hiphop,"	0.14"
201111,Rock/Metal,"	0.06"
201112,R&B/Soul,"	0.03"
201112,Ballade,"	0.48"
201112,Dance,"	0.29"
201112,Folk/Blues,"	0.00"
201112,Indie,"	0.00"
201112,Rap/Hiphop,"	0.12"
201112,Rock/Metal,"	0.09"
201201,Dance,"	0.33"
201201,Ballade,"	0.45"
201201,Folk/Blues,"	0.03"
201201,Indie,"	0.00"
201201,R&B/Soul,"	0.07"
201201,Rap/Hiphop,"	0.09"
201201,Rock/Metal,"	0.03"
201202,Ballade,"	0.44"
201202,Dance,"	0.36"
201202,Folk/Blues,"	0.03"
201202,R&B/Soul,"	0.05"
201202,Rap/Hiphop,"	0.07"
201202,Rock/Metal,"	0.06"
201203,Dance,"	0.33"
201203,Ballade,"	0.48"
201203,Folk/Blues,"	0.03"
201203,Indie,"	0.00"
201203,R&B/Soul,"	0.04"
201203,Rap/Hiphop,"	0.05"
201203,Rock/Metal,"	0.08"
201203,Trot,"	0.00"
201204,Ballade,"	0.54"
201204,Dance,"	0.28"
201204,Folk/Blues,"	0.01"
201204,Indie,"	0.01"
201204,R&B/Soul,"	0.01"
201204,Rap/Hiphop,"	0.06"
201204,Rock/Metal,"	0.10"
201205,Indie,"	0.00"
201205,Ballade,"	0.48"
201205,Dance,"	0.35"
201205,R&B/Soul,"	0.04"
201205,Rap/Hiphop,"	0.09"
201205,Rock/Metal,"	0.05"
201206,Dance,"	0.43"
201206,Folk/Blues,"	0.00"
201206,Indie,"	0.01"
201206,R&B/Soul,"	0.03"
201206,Ballade,"	0.36"
201206,Rap/Hiphop,"	0.14"
201206,Rock/Metal,"	0.03"
201207,Ballade,"	0.31"
201207,Dance,"	0.52"
201207,R&B/Soul,"	0.01"
201207,Rap/Hiphop,"	0.10"
201207,Rock/Metal,"	0.05"
201208,Ballade,"	0.38"
201208,Dance,"	0.39"
201208,Indie,"	0.01"
201208,R&B/Soul,"	0.00"
201208,Rap/Hiphop,"	0.18"
201208,Rock/Metal,"	0.04"
201208,Trot,"	0.00"
201209,Ballade,"	0.44"
201209,Dance,"	0.31"
201209,Indie,"	0.02"
201209,R&B/Soul,"	0.01"
201209,Rap/Hiphop,"	0.17"
201209,Rock/Metal,"	0.05"
201210,Rap/Hiphop,"	0.16"
201210,Ballade,"	0.48"
201210,Dance,"	0.25"
201210,Indie,"	0.02"
201210,R&B/Soul,"	0.04"
201210,Rock/Metal,"	0.04"
201211,Ballade,"	0.46"
201211,Dance,"	0.28"
201211,Folk/Blues,"	0.00"
201211,Indie,"	0.02"
201211,R&B/Soul,"	0.07"
201211,Rap/Hiphop,"	0.12"
201211,Rock/Metal,"	0.04"
201212,Ballade,"	0.53"
201212,Dance,"	0.22"
201212,Folk/Blues,"	0.05"
201212,Indie,"	0.01"
201212,R&B/Soul,"	0.05"
201212,Rap/Hiphop,"	0.09"
201212,Rock/Metal,"	0.05"
201301,Ballade,"	0.54"
201301,Dance,"	0.21"
201301,Folk/Blues,"	0.05"
201301,Indie,"	0.00"
201301,R&B/Soul,"	0.06"
201301,Rap/Hiphop,"	0.11"
201301,Rock/Metal,"	0.03"
201302,Ballade,"	0.52"
201302,Dance,"	0.23"
201302,Folk/Blues,"	0.03"
201302,Indie,"	0.00"
201302,R&B/Soul,"	0.06"
201302,Rap/Hiphop,"	0.13"
201302,Rock/Metal,"	0.03"
201303,Rock/Metal,"	0.03"
201303,Ballade,"	0.50"
201303,Dance,"	0.26"
201303,Folk/Blues,"	0.01"
201303,Indie,"	0.00"
201303,R&B/Soul,"	0.07"
201303,Rap/Hiphop,"	0.13"
201304,Folk/Blues,"	0.08"
201304,Indie,"	0.00"
201304,R&B/Soul,"	0.07"
201304,Dance,"	0.22"
201304,Rap/Hiphop,"	0.14"
201304,Ballade,"	0.46"
201304,Rock/Metal,"	0.03"
201305,Ballade,"	0.38"
201305,Dance,"	0.30"
201305,Folk/Blues,"	0.07"
201305,R&B/Soul,"	0.04"
201305,Rap/Hiphop,"	0.10"
201305,Rock/Metal,"	0.10"
201306,Ballade,"	0.38"
201306,Dance,"	0.35"
201306,Folk/Blues,"	0.06"
201306,Indie,"	0.00"
201306,R&B/Soul,"	0.06"
201306,Rap/Hiphop,"	0.08"
201306,Rock/Metal,"	0.07"
201307,Ballade,"	0.32"
201307,Dance,"	0.37"
201307,Folk/Blues,"	0.04"
201307,Indie,"	0.00"
201307,R&B/Soul,"	0.07"
201307,Rap/Hiphop,"	0.14"
201307,Rock/Metal,"	0.06"
201308,R&B/Soul,"	0.07"
201308,Ballade,"	0.32"
201308,Dance,"	0.37"
201308,Folk/Blues,"	0.02"
201308,Rap/Hiphop,"	0.14"
201308,Rock/Metal,"	0.09"
201309,Ballade,"	0.45"
201309,Dance,"	0.24"
201309,Folk/Blues,"	0.02"
201309,Indie,"	0.01"
201309,R&B/Soul,"	0.09"
201309,Rap/Hiphop,"	0.12"
201309,Rock/Metal,"	0.07"
201310,Ballade,"	0.40"
201310,Dance,"	0.24"
201310,Folk/Blues,"	0.01"
201310,Indie,"	0.00"
201310,R&B/Soul,"	0.05"
201310,Rap/Hiphop,"	0.13"
201310,Rock/Metal,"	0.16"
201311,Ballade,"	0.43"
201311,Dance,"	0.22"
201311,Folk/Blues,"	0.01"
201311,Indie,"	0.01"
201311,R&B/Soul,"	0.05"
201311,Rap/Hiphop,"	0.15"
201311,Rock/Metal,"	0.13"
201312,Ballade,"	0.55"
201312,Dance,"	0.17"
201312,Folk/Blues,"	0.00"
201312,Indie,"	0.00"
201312,R&B/Soul,"	0.09"
201312,Rap/Hiphop,"	0.14"
201312,Rock/Metal,"	0.04"
201401,Rap/Hiphop,"	0.12"
201401,Ballade,"	0.57"
201401,Dance,"	0.22"
201401,Folk/Blues,"	0.00"
201401,Indie,"	0.00"
201401,R&B/Soul,"	0.08"
201401,Rock/Metal,"	0.02"
201402,Dance,"	0.31"
201402,Folk/Blues,"	0.00"
201402,Ballade,"	0.51"
201402,Indie,"	0.00"
201402,R&B/Soul,"	0.09"
201402,Rap/Hiphop,"	0.07"
201402,Rock/Metal,"	0.02"
201403,Ballade,"	0.45"
201403,Dance,"	0.32"
201403,Folk/Blues,"	0.02"
201403,Indie,"	0.02"
201403,R&B/Soul,"	0.06"
201403,Rap/Hiphop,"	0.04"
201403,Rock/Metal,"	0.08"
201403,Trot,"	0.00"
201404,Ballade,"	0.40"
201404,Dance,"	0.26"
201404,Folk/Blues,"	0.06"
201404,Indie,"	0.01"
201404,R&B/Soul,"	0.10"
201404,Rap/Hiphop,"	0.11"
201404,Rock/Metal,"	0.05"
201404,Trot,"	0.00"
201405,Ballade,"	0.41"
201405,Dance,"	0.20"
201405,Folk/Blues,"	0.05"
201405,Indie,"	0.03"
201405,R&B/Soul,"	0.19"
201405,Rap/Hiphop,"	0.11"
201405,Rock/Metal,"	0.01"
201406,Folk/Blues,"	0.04"
201406,Ballade,"	0.37"
201406,Dance,"	0.20"
201406,Indie,"	0.01"
201406,R&B/Soul,"	0.22"
201406,Rap/Hiphop,"	0.14"
201406,Rock/Metal,"	0.03"
201407,Dance,"	0.32"
201407,Folk/Blues,"	0.02"
201407,Indie,"	0.00"
201407,R&B/Soul,"	0.18"
201407,Rap/Hiphop,"	0.10"
201407,Rock/Metal,"	0.02"
201407,Ballade,"	0.35"
201408,Rock/Metal,"	0.03"
201408,Ballade,"	0.33"
201408,Dance,"	0.39"
201408,Folk/Blues,"	0.00"
201408,Indie,"	0.00"
201408,R&B/Soul,"	0.11"
201408,Rap/Hiphop,"	0.14"
201409,Ballade,"	0.41"
201409,Dance,"	0.27"
201409,Folk/Blues,"	0.00"
201409,Indie,"	0.00"
201409,R&B/Soul,"	0.09"
201409,Rap/Hiphop,"	0.20"
201409,Rock/Metal,"	0.02"
201410,Ballade,"	0.46"
201410,Dance,"	0.21"
201410,Folk/Blues,"	0.06"
201410,R&B/Soul,"	0.10"
201410,Rap/Hiphop,"	0.13"
201410,Rock/Metal,"	0.03"
201411,Dance,"	0.16"
201411,Ballade,"	0.50"
201411,Folk/Blues,"	0.04"
201411,Indie,"	0.01"
201411,R&B/Soul,"	0.09"
201411,Rap/Hiphop,"	0.17"
201411,Rock/Metal,"	0.01"
201411,Trot,"	0.03"
201412,Folk/Blues,"	0.02"
201412,R&B/Soul,"	0.06"
201412,Rap/Hiphop,"	0.16"
201412,Rock/Metal,"	0.05"
201412,Ballade,"	0.56"
201412,Trot,"	0.03"
201412,Dance,"	0.13"
201501,R&B/Soul,"	0.05"
201501,Ballade,"	0.51"
201501,Dance,"	0.21"
201501,Folk/Blues,"	0.01"
201501,Indie,"	0.00"
201501,Rap/Hiphop,"	0.19"
201501,Rock/Metal,"	0.01"
201501,Trot,"	0.02"
201502,Ballade,"	0.50"
201502,Dance,"	0.16"
201502,Folk/Blues,"	0.01"
201502,Indie,"	0.00"
201502,R&B/Soul,"	0.12"
201502,Rap/Hiphop,"	0.18"
201502,Rock/Metal,"	0.01"
201502,Trot,"	0.02"
201503,Trot,"	0.01"
201503,Ballade,"	0.35"
201503,Dance,"	0.21"
201503,Folk/Blues,"	0.00"
201503,Indie,"	0.01"
201503,R&B/Soul,"	0.16"
201503,Rap/Hiphop,"	0.25"
201503,Rock/Metal,"	0.01"
201504,Dance,"	0.27"
201504,Folk/Blues,"	0.01"
201504,Indie,"	0.00"
201504,R&B/Soul,"	0.16"
201504,Rap/Hiphop,"	0.20"
201504,Rock/Metal,"	0.08"
201504,Trot,"	0.00"
201504,Ballade,"	0.28"
201505,Trot,"	0.00"
201505,Ballade,"	0.30"
201505,Dance,"	0.30"
201505,Folk/Blues,"	0.02"
201505,Indie,"	0.00"
201505,R&B/Soul,"	0.12"
201505,Rap/Hiphop,"	0.19"
201505,Rock/Metal,"	0.07"
201506,Ballade,"	0.36"
201506,Dance,"	0.28"
201506,Folk/Blues,"	0.04"
201506,Indie,"	0.00"
201506,R&B/Soul,"	0.13"
201506,Rap/Hiphop,"	0.15"
201506,Rock/Metal,"	0.04"
201507,Ballade,"	0.26"
201507,Dance,"	0.31"
201507,Folk/Blues,"	0.05"
201507,Indie,"	0.00"
201507,R&B/Soul,"	0.15"
201507,Rap/Hiphop,"	0.17"
201507,Rock/Metal,"	0.06"
201508,Folk/Blues,"	0.05"
201508,Ballade,"	0.16"
201508,Dance,"	0.31"
201508,Indie,"	0.03"
201508,R&B/Soul,"	0.14"
201508,Rap/Hiphop,"	0.24"
201508,Rock/Metal,"	0.07"
201509,Ballade,"	0.16"
201509,Dance,"	0.29"
201509,Folk/Blues,"	0.04"
201509,Indie,"	0.03"
201509,R&B/Soul,"	0.18"
201509,Rap/Hiphop,"	0.21"
201509,Rock/Metal,"	0.09"
201510,Ballade,"	0.33"
201510,Dance,"	0.22"
201510,Folk/Blues,"	0.03"
201510,Indie,"	0.02"
201510,R&B/Soul,"	0.18"
201510,Rap/Hiphop,"	0.18"
201510,Rock/Metal,"	0.05"
201511,Ballade,"	0.38"
201511,Dance,"	0.23"
201511,Folk/Blues,"	0.00"
201511,Indie,"	0.00"
201511,R&B/Soul,"	0.18"
201511,Rap/Hiphop,"	0.18"
201511,Rock/Metal,"	0.02"
201512,Ballade,"	0.44"
201512,Dance,"	0.21"
201512,Folk/Blues,"	0.00"
201512,Indie,"	0.00"
201512,R&B/Soul,"	0.20"
201512,Rap/Hiphop,"	0.13"
201512,Rock/Metal,"	0.02"
201512,Trot,"	0.00"
201601,Ballade,"	0.46"
201601,Dance,"	0.20"
201601,Folk/Blues,"	0.00"
201601,Indie,"	0.01"
201601,R&B/Soul,"	0.16"
201601,Rap/Hiphop,"	0.17"
201601,Rock/Metal,"	0.01"
201601,Trot,"	0.00"
201602,Dance,"	0.24"
201602,Folk/Blues,"	0.00"
201602,Indie,"	0.00"
201602,Ballade,"	0.45"
201602,R&B/Soul,"	0.16"
201602,Rap/Hiphop,"	0.12"
201602,Rock/Metal,"	0.02"
201602,Trot,"	0.00"
201603,R&B/Soul,"	0.14"
201603,Ballade,"	0.43"
201603,Dance,"	0.30"
201603,Indie,"	0.01"
201603,Rap/Hiphop,"	0.09"
201603,Rock/Metal,"	0.02"
201603,Trot,"	0.00"
201604,Ballade,"	0.40"
201604,Dance,"	0.22"
201604,Folk/Blues,"	0.01"
201604,Indie,"	0.04"
201604,R&B/Soul,"	0.16"
201604,Rap/Hiphop,"	0.10"
201604,Rock/Metal,"	0.08"
201605,Folk/Blues,"	0.03"
201605,Ballade,"	0.37"
201605,Dance,"	0.25"
201605,Indie,"	0.04"
201605,R&B/Soul,"	0.15"
201605,Rap/Hiphop,"	0.11"
201605,Rock/Metal,"	0.05"
201606,Indie,"	0.06"
201606,R&B/Soul,"	0.14"
201606,Rap/Hiphop,"	0.16"
201606,Folk/Blues,"	0.03"
201606,Ballade,"	0.38"
201606,Rock/Metal,"	0.03"
201606,Dance,"	0.19"
201606,Trot,"	0.00"
201607,Indie,"	0.04"
201607,Ballade,"	0.38"
201607,Dance,"	0.30"
201607,Folk/Blues,"	0.02"
201607,R&B/Soul,"	0.12"
201607,Rap/Hiphop,"	0.12"
201607,Rock/Metal,"	0.02"
201608,Ballade,"	0.34"
201608,Dance,"	0.33"
201608,Folk/Blues,"	0.03"
201608,Indie,"	0.04"
201608,R&B/Soul,"	0.09"
201608,Rap/Hiphop,"	0.17"
201608,Rock/Metal,"	0.01"
201609,Rock/Metal,"	0.00"
201609,Ballade,"	0.43"
201609,Dance,"	0.22"
201609,Folk/Blues,"	0.05"
201609,Indie,"	0.02"
201609,R&B/Soul,"	0.11"
201609,Rap/Hiphop,"	0.18"
201610,Ballade,"	0.48"
201610,Dance,"	0.22"
201610,Folk/Blues,"	0.05"
201610,Indie,"	0.02"
201610,R&B/Soul,"	0.10"
201610,Rap/Hiphop,"	0.12"
201610,Rock/Metal,"	0.00"
201611,Ballade,"	0.46"
201611,Dance,"	0.25"
201611,Folk/Blues,"	0.03"
201611,Indie,"	0.01"
201611,R&B/Soul,"	0.07"
201611,Rap/Hiphop,"	0.15"
201611,Rock/Metal,"	0.03"
201612,Ballade,"	0.49"
201612,Dance,"	0.18"
201612,Folk/Blues,"	0.03"
201612,Indie,"	0.01"
201612,R&B/Soul,"	0.06"
201612,Rap/Hiphop,"	0.15"
201612,Rock/Metal,"	0.07"
201701,Ballade,"	0.56"
201701,Dance,"	0.20"
201701,Folk/Blues,"	0.07"
201701,Indie,"	0.00"
201701,R&B/Soul,"	0.05"
201701,Rap/Hiphop,"	0.11"
201701,Rock/Metal,"	0.02"
201702,Rap/Hiphop,"	0.11"
201702,Ballade,"	0.50"
201702,Dance,"	0.19"
201702,Folk/Blues,"	0.08"
201702,Indie,"	0.01"
201702,R&B/Soul,"	0.09"
201702,Rock/Metal,"	0.01"
201703,Folk/Blues,"	0.09"
201703,Dance,"	0.29"
201703,R&B/Soul,"	0.08"
201703,Rap/Hiphop,"	0.13"
